Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed
Naps - Sun Valley (Clip Officiel),"Disponible sur toutes les plateformes de streaming : https://segpa.lnk.to/Album
Extrait du film les ""Segpa"" - le 13 Avril à Marseille et le 15 Avril dans toute la France !!
Segpa l'Album Disponible le 15 Avril !!
-
Abonne-toi à la chaîne de Naps ici : http://bit.ly/2kiGDEx​
-
Suivre Naps sur les réseaux : 
Facebook - https://www.facebook.com/NapsOfficiel/​
Instagram - https://www.instagram.com/napsofficiel/​
Twitter - https://twitter.com/Napsvraicompte​

Suivre les Segpa sur les réseaux :
Youtube - https://www.youtube.com/c/lesSegpa
Instagram - https://www.instagram.com/lessegpaofficiel/
Tik Tok - https://www.tiktok.com/@lessegpaofficiel?lang=fr

-
Auteurs :  NAPS & KALIF 
Compositeur : NICOLAS ROMANO
Réalisateur :  NICOLAS ROMANOEnregistré par HAMIDO A L’ETAGEMixé par NICOLAS ROMANO A L’ETAGE
Masterisé par NICOLAS ROMANO AKA NICOTIAG
-
Produit par Jean Rachid pour Anouche Records et Okay Many Industry
Merci à Kallouche Cinema, Mandarin & Cie, Apollo Films et toute l’équipe du film LES SEGPA",Naps Officiel,2022-03-18T17:00:06Z,"['Naps', '13ème', 'art', 'records']",10,2:54,1077,38904,3490549,0,hd,False
Naps - Le p'tit marseillais (Audio Officiel),"Naps - Le p'tit marseillais (Audio Officiel)
Nouveau titre disponible : https://naps.bfan.link/leptitmarseillais
Abonne-toi à la chaîne ici : http://bit.ly/2kiGDEx​

Ecoute tous les albums de Naps !
""Best life"" : https://naps.bfan.link/bestlife
""Les mains faites pour l'or"" : https://naps.bfan.link/lesmainsfaitespourlor
""Carré VIP"" : http://naps.ffm.to/carrevip​
""On est fait pour ça"" : http://naps.lnk.to/OnEstFaitPourCa​
""A l'instinct"" : http://naps.lnk.to/ALinstinctALL​ 
""En équipe, vol. 1"" : http://naps.lnk.to/EnEquipe​
""Pochon bleu"" : https://naps.lnk.to/PochonBleuALL​

Suis Naps sur les réseaux : 
Facebook : https://www.facebook.com/NapsOfficiel/​
Instagram : https://www.instagram.com/napsofficiel/​
Twitter : https://twitter.com/Napsvraicompte​

#Naps #LePtitMarseillais #BestLife",Naps Officiel,2022-02-17T23:00:15Z,"[""Le P'tit Marseillais"", 'Naps']",10,2:58,1027,23123,1666397,0,hd,True
Naps - Artiste (Clip Officiel),"Naps - Artiste (Clip Officiel)
Extrait de l'album ""Best Life"" disponible : https://naps.bfan.link/bestlife
Ouverture de la billetterie jeudi 20 janvier à midi, exclusivement ici : http://bit.ly/NAPS-tickets
Abonne-toi à la chaîne ici : http://bit.ly/2kiGDEx​

Ecoute tous les albums de Naps !
""Les mains faites pour l'or"" : https://naps.bfan.link/lesmainsfaites...
""Carré VIP"" : http://naps.ffm.to/carrevip​
""On est fait pour ça"" : http://naps.lnk.to/OnEstFaitPourCa​
""A l'instinct"" : http://naps.lnk.to/ALinstinctALL​ 
""En équipe, vol. 1"" : http://naps.lnk.to/EnEquipe​
""Pochon bleu"" : https://naps.lnk.to/PochonBleuALL​

Suis Naps sur les réseaux : 
Facebook : https://www.facebook.com/NapsOfficiel/​
Instagram : https://www.instagram.com/napsofficiel/​
Twitter : https://twitter.com/Napsvraicompte​",Naps Officiel,2022-01-19T16:59:59Z,"['Artiste', 'Best Life', 'Naps']",10,3:2,2164,51849,4366303,0,hd,True
Naps (ft. Sofiane & Kalif Hardcore) Chicha kaloud (Clip Officiel),"Naps (ft. Sofiane & Kalif Hardcore) - Chicha kaloud (Clip Officiel)
Nouvel album ""Best Life"" disponible : https://naps.bfan.link/bestlife
Abonne-toi à la chaîne ici : http://bit.ly/2kiGDEx​

Une réalisation William Thomas

Ecoute tous les albums de Naps !
""Les mains faites pour l'or"" : https://naps.bfan.link/lesmainsfaitespourlor
""Carré VIP"" : http://naps.ffm.to/carrevip​
""On est fait pour ça"" : http://naps.lnk.to/OnEstFaitPourCa​
""A l'instinct"" : http://naps.lnk.to/ALinstinctALL​ 
""En équipe, vol. 1"" : http://naps.lnk.to/EnEquipe​
""Pochon bleu"" : https://naps.lnk.to/PochonBleuALL​

Suis Naps sur les réseaux : 
Facebook : https://www.facebook.com/NapsOfficiel/​
Instagram : https://www.instagram.com/napsofficiel/​
Twitter : https://twitter.com/Napsvraicompte​

#Naps #ChichaKaloud #BestLife",Naps Officiel,2021-12-16T10:59:47Z,"['13eme art', 'AllPoints', 'Best life', 'Chicha kaloud', 'French Hip Hop', 'Friday night', 'Hip Hop/Rap', 'Kalif Hardcore', 'Naps', 'Ok many', 'Pitbull', 'Sofiane']",10,2:43,3147,60788,5541436,0,hd,True
Naps (ft. GIMS) - Best life (Clip Officiel),"Naps (ft. GIMS) - Best life (Clip Officiel)
Nouvel album ""Best Life"" disponible : https://naps.bfan.link/bestlife
Abonne-toi à la chaîne ici : http://bit.ly/2kiGDEx​

Prod : CDR

Réalisateur : NEETCH ; KHALIL Mise en scène : Vincent MAGNAUD ; Calvin ANTHEAUME
Production : Camille BEDOT ; Léa KALAIDJIAN ; Thipaine LENTI ; Coline GUENOT
Image : Bertrand MARIN ; Laurent HANNOUN ; Arthur DILOUYA Electro : Sergio PULIDO ; Eloi PERRIN ; Lauriane PATAUD Machino : Maxime AUBRY ; Mathilde CAROFF Régie : Nicolas JOUANNY ; Désiré MARIE
Déco: Marine AVIGNON ; Olivia PICCOLO Styliste : Jerôme ; Ali
Maquillage / Coiffure : Melissa ; Ouardia

Ecoute tous les albums de Naps !
""Les mains faites pour l'or"" : https://naps.bfan.link/lesmainsfaitespourlor
""Carré VIP"" : http://naps.ffm.to/carrevip​
""On est fait pour ça"" : http://naps.lnk.to/OnEstFaitPourCa​
""A l'instinct"" : http://naps.lnk.to/ALinstinctALL​ 
""En équipe, vol. 1"" : http://naps.lnk.to/EnEquipe​
""Pochon bleu"" : https://naps.lnk.to/PochonBleuALL​

Suis Naps sur les réseaux : 
Facebook : https://www.facebook.com/NapsOfficiel/​
Instagram : https://www.instagram.com/napsofficiel/​
Twitter : https://twitter.com/Napsvraicompte​",Naps Officiel,2021-09-29T10:00:01Z,"['13 eme art', 'Best life', 'French Hip Hop', 'GIMS', 'Hip Hop/Rap', 'Naps', 'OK many industrie']",10,3:18,8239,404935,77519352,0,hd,True
Naps - C'est rien c'est la rue (Clip Officiel),"Naps - C'est rien c'est la rue (Clip Officiel)
Nouvel album ""Best Life"" disponible : https://naps.bfan.link/bestlife
Abonne-toi à la chaîne ici : http://bit.ly/2kiGDEx​

Auteur : Naps, Kalif Hardcore
Compositeur : Seezy

Réalisation : Nicolas Noël
Production : NVZ production
Stylime : Basma El Ghouate

Ecoute tous les albums de Naps !
""Les mains faites pour l'or"" : https://naps.bfan.link/lesmainsfaitespourlor
""Carré VIP"" : http://naps.ffm.to/carrevip​
""On est fait pour ça"" : http://naps.lnk.to/OnEstFaitPourCa​
""A l'instinct"" : http://naps.lnk.to/ALinstinctALL​ 
""En équipe, vol. 1"" : http://naps.lnk.to/EnEquipe​
""Pochon bleu"" : https://naps.lnk.to/PochonBleuALL​

Suis Naps sur les réseaux : 
Facebook : https://www.facebook.com/NapsOfficiel/​
Instagram : https://www.instagram.com/napsofficiel/​
Twitter : https://twitter.com/Napsvraicompte​
Snapchat : naps13art",Naps Officiel,2021-09-10T09:59:58Z,"['13 eme art', 'Best life', ""C'est rien c'est la rue"", 'French Hip Hop', 'Hip Hop/Rap', 'La kiffance', 'Naps', 'Ok many industrie']",10,3:7,2300,90727,9258191,0,hd,True
"Naps - Les mains faites pour l'or (Émission 5) / Avec Gips, Houari, Jul & Moubarak","En partenariat avec YouTube Music.
Nouvel album ""Les mains faites pour l'or"" disponible : https://naps.bfan.link/lesmainsfaitespourlor
Abonne-toi à la chaîne ici : http://bit.ly/2kiGDEx​

Présenté par Fif Tobossi & Kerch Kotan.
Invités du jour : Gips, Houari, Jul & Moubarak

Intro : 00:00
Naps ""Sans limites"" ft. Jul : 00:37
Présentation des invités : 03:23
Jul x Naps : 06:38
Transmettre le flambeau : 08:25
Moubarak ""La folie"" : 15:10
Gips ""Bourré la gueule"" : 18:17
Houari ""Freestyle"" : 21:17
Naps ""Palette"" : 25:03
Jul ""Survet claquette"" : 28:32
Fin : 31:08

Ecoute tous les albums de Naps !
""Carré VIP"" : http://naps.ffm.to/carrevip​
""On est fait pour ça"" : http://naps.lnk.to/OnEstFaitPourCa​
""A l'instinct"" : http://naps.lnk.to/ALinstinctALL​ 
""En équipe, vol. 1"" : http://naps.lnk.to/EnEquipe​
""Pochon bleu"" : https://naps.lnk.to/PochonBleuALL​

Suis Naps sur les réseaux : 
Facebook : https://www.facebook.com/NapsOfficiel/​
Instagram : https://www.instagram.com/napsofficiel/​
Twitter : https://twitter.com/Napsvraicompte​
Snapchat : naps13art
Abonne-toi à la chaîne ici : http://bit.ly/2kiGDEx

#Naps #LesMainsFaitesPourLor #YouTubeMusic",Naps Officiel,2021-04-02T18:11:35Z,"['Naps', 'les mains faites pour lor', 'emission 5', 'jul', 'gips', 'moubarak', 'survet claquette', 'houari', 'sans limites']",10,39:56,393,9801,865080,0,hd,True
Naps (ft. SCH) - La danse des bandits (Clip Officiel),"Naps (ft. SCH) - La danse des bandits (Clip Officiel) 
Nouvel album ""Les mains faites pour l'or"" disponible partout : https://naps.bfan.link/lesmainsfaitespourlor
Abonne-toi à la chaîne ici : http://bit.ly/2kiGDEx​

Prod by Nassbrance, PMR, Kakou PROD

Clip réalisé par Kub & Cristo 
Produit par HVH

Ecoute tous les albums de Naps !
""Carré VIP"" : http://naps.ffm.to/carrevip​
""On est fait pour ça"" : http://naps.lnk.to/OnEstFaitPourCa​
""A l'instinct"" : http://naps.lnk.to/ALinstinctALL​ 
""En équipe, vol. 1"" : http://naps.lnk.to/EnEquipe​
""Pochon bleu"" : https://naps.lnk.to/PochonBleuALL​

Suis Naps sur les réseaux : 
Facebook : https://www.facebook.com/NapsOfficiel/​
Instagram : https://www.instagram.com/napsofficiel/​
Twitter : https://twitter.com/Napsvraicompte​
Snapchat : naps13art

#LesMainsFaitesPourLOr #AlbumDispo",Naps Officiel,2021-04-02T10:00:03Z,"['French Hip Hop', 'Hip Hop/Rap', 'La danse des bandits', 'Les mains faites pour lor', 'Naps', 'Ok many industrie', 'SCH']",10,3:4,6020,354969,59414279,0,hd,True
"Naps - Les mains faites pour l'or (Émission 4) / Avec AM La Scampia, Ivory, L'Algérino...","En partenariat avec YouTube Music.
Nouvel album ""Les mains faites pour l'or"" disponible : http://naps.bfan.link/lesmainsfaitespourlor
Abonne-toi à la chaîne ici : http://bit.ly/2kiGDEx​

Présenté par Fif Tobossi & Kerch Kotan.
Invités du jour : AM La Scampia, Banguiz, KID, GER, Ivory, L'adjoint, L'Algérino, MOH & Sauzer

Semaine spéciale sur la chaîne YouTube de Naps ⚜️
Rendez-vous tous les soirs à 19h pour l'émission ""Les mains faites pour l'or"" :

👉 29/03 - 19H : https://youtu.be/CGV7GvCTnyE
👉 30/03 - 19H : https://youtu.be/rAj6ZspPMW4
👉 31/03 - 19H : https://youtu.be/Jwu769Kyi7o
👉 01/04 - 19H : https://youtu.be/N0Wv3MIA8Mg
👉 02/04 - 19H : https://youtu.be/pvC917wNXnI

En exclusivité pour les membres Premium, retrouvez Naps en Afterparty après la dernière émission ""Les mains faites pour l'or"" : https://youtu.be/zuuyfCoWXNQ
Début de l'Afterparty : le 2 avril à 20h

Ecoute tous les albums de Naps !
""Carré VIP"" : http://naps.ffm.to/carrevip​
""On est fait pour ça"" : http://naps.lnk.to/OnEstFaitPourCa​
""A l'instinct"" : http://naps.lnk.to/ALinstinctALL​ 
""En équipe, vol. 1"" : http://naps.lnk.to/EnEquipe​
""Pochon bleu"" : https://naps.lnk.to/PochonBleuALL​

Suis Naps sur les réseaux : 
Facebook : https://www.facebook.com/NapsOfficiel/​
Instagram : https://www.instagram.com/napsofficiel/​
Twitter : https://twitter.com/Napsvraicompte​
Snapchat : naps13art

#Naps #LesMainsFaitesPourLor #YouTubeMusic",Naps Officiel,2021-04-01T18:18:49Z,"['Naps', ""Les mains faites du l'or"", 'émission 1', 'alonzo', '2bang', 'la kiffance', 'thabiti']",10,59:6,116,3386,173871,0,hd,False
"Naps - Les mains faites pour l'or (Émission 3) // Avec Dika, Graya, Fahar, Solda, Sysa & Yas","En partenariat avec YouTube Music.
Nouvel album ""Les mains faites pour l'or"" disponible : http://naps.bfan.link/lesmainsfaitespourlor
Abonne-toi à la chaîne ici : http://bit.ly/2kiGDEx​

Présenté par Fif Tobossi & Kerch Kotan.
Invités du jour : Dika, Graya, Fahar, Solda, Sysa & Yas

Semaine spéciale sur la chaîne YouTube de Naps ⚜️
Rendez-vous tous les soirs à 19h pour l'émission ""Les mains faites pour l'or"" :

👉 Emission 1 : https://youtu.be/CGV7GvCTnyE
👉 Emission 2 : https://youtu.be/rAj6ZspPMW4
👉 Emission 3 : https://youtu.be/Jwu769Kyi7o
👉 Emission 4 : https://youtu.be/N0Wv3MIA8Mg
👉 Emission 5 :  https://youtu.be/pvC917wNXnI

En exclusivité pour les membres Premium, retrouvez Naps en Afterparty après la dernière émission ""Les mains faites pour l'or"" : https://youtu.be/zuuyfCoWXNQ
Début de l'Afterparty : le 2 avril à 20h

Ecoute tous les albums de Naps !
""Carré VIP"" : http://naps.ffm.to/carrevip​
""On est fait pour ça"" : http://naps.lnk.to/OnEstFaitPourCa​
""A l'instinct"" : http://naps.lnk.to/ALinstinctALL​ 
""En équipe, vol. 1"" : http://naps.lnk.to/EnEquipe​
""Pochon bleu"" : https://naps.lnk.to/PochonBleuALL​

Suis Naps sur les réseaux : 
Facebook : https://www.facebook.com/NapsOfficiel/​
Instagram : https://www.instagram.com/napsofficiel/​
Twitter : https://twitter.com/Napsvraicompte​
Snapchat : naps13art

#Naps #LesMainsFaitesPourLor #YouTubeMusic",Naps Officiel,2021-03-31T17:45:26Z,"['Naps', ""Les mains faites du l'or"", 'émission 1', 'alonzo', '2bang', 'la kiffance', 'thabiti']",10,39:17,176,3864,199992,0,hd,False
